Variety,Quantity,Usage,Period
Suwandal,2779,Make jam and sugary products to the local market,November-January
Ambum,3745,Make tea bags and filters,January-December
Rath Kesel,1681,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Green Banana,1199,Make banana oils are used in cosmatic industry,January-December
Kandula,3373,Brewing and distilling industry- Make banana beer,November-January
Ambul Kesel,405,Brewing and distilling industry- Make banana beer,January-December
Sini Kesel,295,Make single use plastic alternatives,January-December
Puwalu,1764,Make tea bags and filters,January-December
Ambul Nadee,3014,Give CBL to make Waffers Biscuits,January-December
Puwalu,1931,Banana flavored craft beers,November-January
Puwalu,3559,Make bioplastics,January-December
Ambul Nadee,1301,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Suwandal,4522,Make bioplastics,January-December
Nethra Palam,2324,Food industry-desserts varieties,January-December
Green Banana,1817,Make high quality acid free paper from banana stems and leaves,November-January
Suwandal,4857,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Kandula,4837,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Kesel,3894,Bakery industry- Banana breads and banana cakes,January-December
Sini Kesel,1900,Make breakfast cereals,November-January
Sini Kesel,726,Make high quality acid free paper from banana stems and leaves,January-December
Nethra Palam,2995,Make breakfast cereals,January-December
Suwandal,899,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Puwalu,4419,Banana flavored craft beers,January-December
Anamalu,3513,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Rath Kesel,2309,Banana flavored craft beers,January-December
Ambul Kesel,995,dehydrated banana chips,November-January
Suwandal,4877,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambul Nadee,4437,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Suwandal,3600,Export to USA as fresh banana,January-December
Suwandal,1258,Make natural remedies,January-December
Suwandal,2968,Brewing and distilling industry- Make banana beer,January-December
Kandula,3707,Make single use plastic alternatives,January-December
Anamalu,2813,Brewing and distilling industry- Make banana beer,January-December
Puwalu,2642,Make jam and sugary products to the local market,November-January
Anamalu,1922,Textile industry- make banana fibers,November-January
Sini Kesel,1082,Make banana oils are used in cosmatic industry,November-January
Puwalu,699,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Kandula,2729,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Nethra Palam,4302,cosmetic industry- Make haircare treatments with banana extracts,January-December
Rath Kesel,3282,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambum,3133,Export to USA as fresh banana,November-January
Puwalu,3815,Banana chips ( both sweetened and unsweetened),November-January
Ambul Kesel,2603,Make breakfast cereals,January-December
Suwandal,1800,Make single use plastic alternatives,November-January
Sini Kesel,1405,Make natural remedies,January-December
Ambum,4443,Banana flavored craft beers,January-December
Sini Kesel,2391,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Rath Kesel,510,Banana chocolates and sweets,November-January
Anamalu,3914,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Puwalu,597,Textile industry- make banana fibers,November-January
Ambul Nadee,4013,Export to USA as fresh banana,January-December
Ambul Nadee,1961,Make jam and sugary products to the local market,January-December
Rath Kesel,3056,Make organic fertilizers,November-January
Anamalu,365,Banana flavored craft beers,November-January
Kandula,3336,Food industry-desserts varieties,November-January
Suwandal,921,Make bioplastics,January-December
Sini Kesel,3686,Make high quality acid free paper from banana stems and leaves,January-December
Rath Kesel,2079,Make bioplastics,January-December
Seeni Parakum,3981,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Green Banana,1561,Make innorganic fertilizers,November-January
Puwalu,983,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Green Banana,2603,Make bioplastics,November-January
Ambul Kesel,3672,Make high quality acid free paper from banana stems and leaves,November-January
Seeni Parakum,1853,Make jam and sugary products to the local market,November-January
Kandula,412,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambul Kesel,240,Make jam and sugary products to the local market,January-December
Kolikuttu,302,dehydrated banana chips,November-January
Nethra Palam,4589,cosmetic industry- Make haircare treatments with banana extracts,January-December
Ambul Kesel,1434,Food industry-desserts varieties,January-December
Rath Kesel,2418,Make breakfast cereals,November-January
Suwandal,2977,Textile industry- make banana fibers,January-December
Sini Kesel,3033,Make innorganic fertilizers,November-January
Rath Kesel,2238,Make tea bags and filters,January-December
Anamalu,2179,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kandula,1271,Textile industry- make banana fibers,November-January
Kolikuttu,1174,dehydrated banana chips,November-January
Ambum,1622,dehydrated banana chips,January-December
Sini Kesel,1856,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Nethra Palam,2118,cosmetic industry- Make haircare treatments with banana extracts,November-January
Suwandal,69,cosmetic industry- Make haircare treatments with banana extracts,January-December
Suwandal,639,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Nethra Palam,4141,Make banana oils are used in cosmatic industry,November-January
Sini Kesel,2019,Make innorganic fertilizers,January-December
Ambul Nadee,4524,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Nethra Palam,2897,Banana candies,November-January
Seeni Parakum,190,Make innorganic fertilizers,January-December
Rath Kesel,4794,Textile industry- make banana fibers,November-January
Puwalu,4932,dehydrated banana chips,January-December
Suwandal,353,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Nethra Palam,4014,Make bioplastics,January-December
Ambum,1965,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambul Nadee,2534,Make banana oils are used in cosmatic industry,January-December
Ambum,409,dehydrated banana chips,November-January
Sini Kesel,1758,Give CBL to make Waffers Biscuits,November-January
Ambul Nadee,1463,Textile industry- make banana fibers,November-January
Kandula,1991,Make bioplastics,January-December
Ambum,4979,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Kolikuttu,3238,Make single use plastic alternatives,November-January
Puwalu,78,Give CBL to make Waffers Biscuits,January-December
Puwalu,3204,Make natural remedies,January-December
Ambum,1136,make banana silk which is eco friendly and biodegradable,January-December
Kolikuttu,317,Banana candies,November-January
Green Banana,4547,Make high quality acid free paper from banana stems and leaves,November-January
Puwalu,2115,Make high quality acid free paper from banana stems and leaves,January-December
Kandula,2244,dehydrated banana chips,November-January
Kandula,2003,Make single use plastic alternatives,November-January
Green Banana,1734,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Seeni Parakum,3926,Give CBL to make Waffers Biscuits,January-December
Nethra Palam,4969,Banana chocolates and sweets,January-December
Ambul Nadee,2014,Textile industry- make banana fibers,November-January
Rath Kesel,882,Banana chocolates and sweets,January-December
Rath Kesel,1140,Make single use plastic alternatives,November-January
Puwalu,770,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambum,2383,make banana silk which is eco friendly and biodegradable,November-January
Sini Kesel,1997,Make innorganic fertilizers,November-January
Ambum,4361,Export to USA as fresh banana,November-January
Ambul Kesel,885,Make organic fertilizers,November-January
Kolikuttu,4731,Make bioplastics,November-January
Kolikuttu,4360,Make bioplastics,January-December
Nethra Palam,2942,Banana chips ( both sweetened and unsweetened),January-December
Anamalu,617,Banana candies,January-December
Suwandal,3513,Make single use plastic alternatives,November-January
Anamalu,1389,make banana silk which is eco friendly and biodegradable,November-January
Sini Kesel,3775,Give CBL to make Waffers Biscuits,January-December
Kandula,2460,Export to USA as fresh banana,January-December
Kandula,4842,Export to USA as fresh banana,November-January
Kandula,3102,Make tea bags and filters,November-January
Kolikuttu,3062,Food industry-desserts varieties,January-December
Ambul Kesel,3793,Make high quality acid free paper from banana stems and leaves,November-January
Seeni Parakum,3975,Make innorganic fertilizers,January-December
Ambul Kesel,2608,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambul Kesel,311,Make single use plastic alternatives,November-January
Anamalu,3563,make banana silk which is eco friendly and biodegradable,January-December
Ambul Kesel,2946,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Kandula,2032,Food industry-desserts varieties,November-January
Sini Kesel,2238,Banana chocolates and sweets,November-January
Kolikuttu,3110,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Green Banana,2438,Banana flavored craft beers,January-December
Ambul Kesel,3355,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Seeni Parakum,2375,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Suwandal,1858,Banana candies,January-December
Kolikuttu,1510,Make single use plastic alternatives,November-January
Anamalu,4798,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Nadee,2091,Make banana oils are used in cosmatic industry,January-December
Ambul Kesel,4041,Make organic fertilizers,November-January
Anamalu,4004,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambum,811,Export to USA as fresh banana,January-December
Anamalu,1992,dehydrated banana chips,January-December
Seeni Parakum,4835,Banana flavored craft beers,November-January
Anamalu,1212,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Puwalu,4964,Make innorganic fertilizers,January-December
Sini Kesel,3284,Bakery industry- Banana breads and banana cakes,November-January
Suwandal,963,Banana chocolates and sweets,November-January
Puwalu,164,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Sini Kesel,3432,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Nethra Palam,4231,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Sini Kesel,3134,Make jam and sugary products to the local market,November-January
Kandula,2921,Food industry-desserts varieties,November-January
Ambum,4710,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kandula,255,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Seeni Parakum,4427,Make single use plastic alternatives,November-January
Ambul Kesel,169,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,363,Banana flavored craft beers,January-December
Sini Kesel,4540,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Seeni Parakum,311,Make single use plastic alternatives,January-December
Rath Kesel,1501,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Kandula,573,Banana flavored craft beers,November-January
Seeni Parakum,1798,Make natural remedies,November-January
Rath Kesel,765,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Rath Kesel,781,Banana chocolates and sweets,January-December
Sini Kesel,2350,Brewing and distilling industry- Make banana beer,January-December
Nethra Palam,1611,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Kesel,4898,Banana flavored craft beers,November-January
Kolikuttu,1142,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kolikuttu,1715,Give CBL to make Waffers Biscuits,November-January
Kandula,1900,Make breakfast cereals,January-December
Kolikuttu,2810,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Nethra Palam,1099,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Suwandal,111,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Rath Kesel,4564,Make high quality acid free paper from banana stems and leaves,November-January
Ambul Nadee,798,dehydrated banana chips,November-January
Rath Kesel,3590,Make banana oils are used in cosmatic industry,January-December
Kandula,2964,Give CBL to make Waffers Biscuits,January-December
Puwalu,1877,Banana flavored craft beers,January-December
Sini Kesel,131,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Nethra Palam,4446,Make single use plastic alternatives,November-January
Ambul Nadee,893,cosmetic industry- Make haircare treatments with banana extracts,January-December
Green Banana,2246,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Sini Kesel,889,Make high quality acid free paper from banana stems and leaves,November-January
Anamalu,1712,Bakery industry- Banana breads and banana cakes,November-January
Kandula,4260,Make jam and sugary products to the local market,November-January
Nethra Palam,1178,Make jam and sugary products to the local market,November-January
Kolikuttu,1477,Banana chocolates and sweets,November-January
Kolikuttu,1523,Brewing and distilling industry- Make banana beer,November-January
Nethra Palam,2551,Food industry-desserts varieties,November-January
Puwalu,2019,Make bioplastics,January-December
Puwalu,3759,Banana candies,November-January
Puwalu,2013,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Kandula,4745,Make breakfast cereals,November-January
Sini Kesel,4177,Make bioplastics,January-December
Seeni Parakum,4695,Make banana oils are used in cosmatic industry,November-January
Ambul Nadee,1735,Make organic fertilizers,November-January
Nethra Palam,551,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambul Kesel,2851,Banana chocolates and sweets,January-December
Sini Kesel,1639,cosmetic industry- Make haircare treatments with banana extracts,January-December
Anamalu,3647,Make banana oils are used in cosmatic industry,November-January
Sini Kesel,2224,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Puwalu,2006,Textile industry- make banana fibers,January-December
Ambul Kesel,3339,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Sini Kesel,615,Make tea bags and filters,November-January
Puwalu,2006,Bakery industry- Banana breads and banana cakes,January-December
Green Banana,4465,Export to USA as fresh banana,January-December
Ambul Kesel,4691,Banana flavored craft beers,November-January
Nethra Palam,2345,Make bioplastics,January-December
Suwandal,4510,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Sini Kesel,2994,dehydrated banana chips,January-December
Nethra Palam,280,Bakery industry- Banana breads and banana cakes,November-January
Kolikuttu,698,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Ambul Nadee,3370,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Anamalu,2266,Make bioplastics,January-December
Ambul Nadee,3536,Banana chocolates and sweets,November-January
Green Banana,2465,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Green Banana,3740,Make bioplastics,January-December
Sini Kesel,2884,Make banana oils are used in cosmatic industry,November-January
Kolikuttu,4232,Export to USA as fresh banana,January-December
Nethra Palam,3386,Banana chips ( both sweetened and unsweetened),January-December
Puwalu,625,Banana chips ( both sweetened and unsweetened),November-January
Puwalu,191,Banana chips ( both sweetened and unsweetened),January-December
Suwandal,2841,Banana flavored craft beers,November-January
Kandula,4405,make banana silk which is eco friendly and biodegradable,January-December
Anamalu,2138,dehydrated banana chips,January-December
Green Banana,1168,cosmetic industry- Make haircare treatments with banana extracts,November-January
Green Banana,828,Make organic fertilizers,January-December
Anamalu,2049,Give CBL to make Waffers Biscuits,January-December
Anamalu,112,Make tea bags and filters,January-December
Puwalu,4053,Make breakfast cereals,January-December
Kolikuttu,232,Make bioplastics,November-January
Ambum,4265,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambum,4811,Make jam and sugary products to the local market,November-January
Seeni Parakum,2207,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Nethra Palam,2336,make banana silk which is eco friendly and biodegradable,January-December
Kolikuttu,672,Give CBL to make Waffers Biscuits,November-January
Rath Kesel,3696,Brewing and distilling industry- Make banana beer,January-December
Green Banana,3437,Banana candies,November-January
Suwandal,706,dehydrated banana chips,January-December
Rath Kesel,2839,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Rath Kesel,4337,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,1041,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Green Banana,1410,Banana chocolates and sweets,January-December
Sini Kesel,849,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Kandula,2740,Make bioplastics,November-January
Green Banana,4653,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Puwalu,2657,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Rath Kesel,3190,Make natural remedies,January-December
Kandula,3505,Brewing and distilling industry- Make banana beer,January-December
Puwalu,2746,Make jam and sugary products to the local market,November-January
Ambum,817,Make breakfast cereals,November-January
Ambul Nadee,1098,Banana chips ( both sweetened and unsweetened),January-December
Suwandal,4855,Banana chips ( both sweetened and unsweetened),January-December
Kandula,233,Make organic fertilizers,January-December
Rath Kesel,59,Banana candies,November-January
Ambul Kesel,1544,Banana chocolates and sweets,January-December
Green Banana,4495,Bakery industry- Banana breads and banana cakes,January-December
Nethra Palam,1171,Make innorganic fertilizers,November-January
Green Banana,3666,Give CBL to make Waffers Biscuits,November-January
Green Banana,2032,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Kandula,2358,Make natural remedies,November-January
Seeni Parakum,4429,Make organic fertilizers,January-December
Puwalu,2223,Banana flavored craft beers,November-January
Green Banana,4074,Banana candies,January-December
Suwandal,3341,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambul Nadee,4767,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Nadee,2210,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Nethra Palam,3710,Make jam and sugary products to the local market,January-December
Nethra Palam,483,Bakery industry- Banana breads and banana cakes,January-December
Anamalu,2439,Export to USA as fresh banana,January-December
Green Banana,1747,Banana flavored craft beers,January-December
Nethra Palam,3232,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,379,Make breakfast cereals,November-January
Rath Kesel,3194,Make tea bags and filters,January-December
Rath Kesel,1562,Bakery industry- Banana breads and banana cakes,November-January
Ambul Nadee,2175,Give CBL to make Waffers Biscuits,January-December
Anamalu,4306,Banana chocolates and sweets,January-December
Ambum,3034,Make tea bags and filters,November-January
Seeni Parakum,3965,Bakery industry- Banana breads and banana cakes,November-January
Green Banana,3673,make banana silk which is eco friendly and biodegradable,January-December
Ambum,4954,Banana chips ( both sweetened and unsweetened),January-December
Ambul Nadee,3735,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Ambul Kesel,1200,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Puwalu,1284,Bakery industry- Banana breads and banana cakes,November-January
Green Banana,4673,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Seeni Parakum,1672,Textile industry- make banana fibers,November-January
Puwalu,2897,Make banana oils are used in cosmatic industry,November-January
Rath Kesel,2265,cosmetic industry- Make haircare treatments with banana extracts,November-January
Ambum,461,Banana chocolates and sweets,January-December
Anamalu,1727,Export to USA as fresh banana,January-December
Ambul Nadee,2287,Make tea bags and filters,November-January
Rath Kesel,3783,Banana chips ( both sweetened and unsweetened),November-January
Rath Kesel,3226,Make high quality acid free paper from banana stems and leaves,January-December
Kandula,4583,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Nadee,4568,Bakery industry- Banana breads and banana cakes,January-December
Ambul Nadee,3635,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Sini Kesel,1274,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambul Kesel,1609,make banana silk which is eco friendly and biodegradable,January-December
Rath Kesel,4409,Make bioplastics,January-December
Rath Kesel,3735,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Rath Kesel,4554,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambul Nadee,2805,Give CBL to make Waffers Biscuits,November-January
Green Banana,4636,Bakery industry- Banana breads and banana cakes,January-December
Anamalu,3471,Make banana oils are used in cosmatic industry,November-January
Ambul Kesel,3401,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Green Banana,4789,dehydrated banana chips,January-December
Seeni Parakum,4527,Make banana oils are used in cosmatic industry,November-January
Rath Kesel,1946,Make natural remedies,January-December
Puwalu,4650,Banana candies,November-January
Green Banana,4700,Banana candies,January-December
Sini Kesel,4312,Make jam and sugary products to the local market,November-January
Sini Kesel,269,Brewing and distilling industry- Make banana beer,January-December
Suwandal,1564,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Green Banana,4038,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Seeni Parakum,2060,Make banana oils are used in cosmatic industry,January-December
Kandula,1724,Make organic fertilizers,November-January
Suwandal,4223,Make natural remedies,January-December
Suwandal,1728,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Green Banana,3701,dehydrated banana chips,January-December
Seeni Parakum,2475,Banana chips ( both sweetened and unsweetened),January-December
Kolikuttu,4146,Textile industry- make banana fibers,January-December
Rath Kesel,4175,Textile industry- make banana fibers,November-January
Ambul Kesel,4394,Give CBL to make Waffers Biscuits,November-January
Suwandal,2600,Food industry-desserts varieties,November-January
Anamalu,4964,Food industry-desserts varieties,January-December
Suwandal,316,Give CBL to make Waffers Biscuits,November-January
Ambul Kesel,1792,Banana chips ( both sweetened and unsweetened),January-December
Ambum,3285,make banana silk which is eco friendly and biodegradable,January-December
Ambum,3758,Make bioplastics,November-January
Rath Kesel,2492,Make banana oils are used in cosmatic industry,November-January
Suwandal,1089,Banana chips ( both sweetened and unsweetened),November-January
Sini Kesel,3667,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Green Banana,2109,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Rath Kesel,3219,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Nethra Palam,3382,Food industry-desserts varieties,November-January
Anamalu,938,Make tea bags and filters,January-December
Sini Kesel,4050,Make single use plastic alternatives,November-January
Sini Kesel,1216,make banana silk which is eco friendly and biodegradable,November-January
Seeni Parakum,4162,Make innorganic fertilizers,January-December
Ambul Nadee,1744,Make organic fertilizers,January-December
Seeni Parakum,4292,Make natural remedies,January-December
Kandula,4597,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Green Banana,4905,Banana candies,January-December
Rath Kesel,4394,cosmetic industry- Make haircare treatments with banana extracts,January-December
Sini Kesel,4100,Export to USA as fresh banana,January-December
Suwandal,3503,Make single use plastic alternatives,January-December
Anamalu,4615,Banana flavored craft beers,January-December
Suwandal,2491,Make banana oils are used in cosmatic industry,January-December
Green Banana,2339,Make jam and sugary products to the local market,January-December
Suwandal,2426,Banana flavored craft beers,November-January
Kandula,2049,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambul Kesel,1224,Make organic fertilizers,November-January
Green Banana,215,Make single use plastic alternatives,January-December
Kandula,916,Banana candies,January-December
Kandula,1887,Textile industry- make banana fibers,January-December
Suwandal,1063,Make jam and sugary products to the local market,November-January
Kandula,2806,Make innorganic fertilizers,January-December
Sini Kesel,1872,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Puwalu,1654,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Nethra Palam,3526,Give CBL to make Waffers Biscuits,January-December
Suwandal,248,Give CBL to make Waffers Biscuits,November-January
Anamalu,625,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Sini Kesel,1609,Banana flavored craft beers,January-December
Rath Kesel,3925,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Kolikuttu,1653,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Seeni Parakum,1747,Food industry-desserts varieties,January-December
Nethra Palam,2991,Make high quality acid free paper from banana stems and leaves,November-January
Green Banana,2482,make banana silk which is eco friendly and biodegradable,January-December
Puwalu,1801,Bakery industry- Banana breads and banana cakes,January-December
Anamalu,836,Make organic fertilizers,November-January
Kolikuttu,348,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Suwandal,2244,Banana flavored craft beers,January-December
Anamalu,4583,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambum,1010,Make natural remedies,November-January
Puwalu,4826,Make breakfast cereals,January-December
Rath Kesel,3771,Bakery industry- Banana breads and banana cakes,November-January
Kolikuttu,126,Bakery industry- Banana breads and banana cakes,November-January
Nethra Palam,1083,Textile industry- make banana fibers,January-December
Sini Kesel,2843,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Anamalu,4668,make banana silk which is eco friendly and biodegradable,November-January
Rath Kesel,1498,cosmetic industry- Make haircare treatments with banana extracts,November-January
Ambum,1509,Food industry-desserts varieties,January-December
Green Banana,4922,Make jam and sugary products to the local market,January-December
Seeni Parakum,1237,Make innorganic fertilizers,January-December
Kolikuttu,3783,Make innorganic fertilizers,November-January
Kandula,1920,Banana candies,January-December
Ambul Kesel,3618,Make natural remedies,November-January
Seeni Parakum,4120,Make natural remedies,January-December
Green Banana,3603,Make jam and sugary products to the local market,November-January
Seeni Parakum,2104,Bakery industry- Banana breads and banana cakes,November-January
Anamalu,4214,Make tea bags and filters,November-January
Puwalu,2174,Give CBL to make Waffers Biscuits,November-January
Ambum,4242,Banana chips ( both sweetened and unsweetened),November-January
Sini Kesel,601,Textile industry- make banana fibers,January-December
Suwandal,4181,Bakery industry- Banana breads and banana cakes,November-January
Seeni Parakum,4762,Export to USA as fresh banana,November-January
Kolikuttu,2808,Bakery industry- Banana breads and banana cakes,November-January
Ambul Kesel,4661,Brewing and distilling industry- Make banana beer,November-January
Kandula,3374,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Puwalu,135,Banana chips ( both sweetened and unsweetened),January-December
Kolikuttu,1977,Textile industry- make banana fibers,November-January
Nethra Palam,3760,Textile industry- make banana fibers,November-January
Ambum,1960,Give CBL to make Waffers Biscuits,November-January
Ambul Kesel,2458,Textile industry- make banana fibers,January-December
Ambum,2774,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambul Nadee,377,dehydrated banana chips,January-December
Seeni Parakum,563,Make innorganic fertilizers,January-December
Kandula,1819,Make organic fertilizers,November-January
Rath Kesel,4855,Food industry-desserts varieties,January-December
Kolikuttu,777,Make banana oils are used in cosmatic industry,November-January
Nethra Palam,774,Banana chocolates and sweets,January-December
Sini Kesel,342,Give CBL to make Waffers Biscuits,January-December
Kolikuttu,1069,dehydrated banana chips,January-December
Kandula,2628,Make high quality acid free paper from banana stems and leaves,November-January
Anamalu,3625,Make banana oils are used in cosmatic industry,November-January
Seeni Parakum,695,Textile industry- make banana fibers,January-December
Kandula,4715,Make banana oils are used in cosmatic industry,November-January
Kandula,544,cosmetic industry- Make haircare treatments with banana extracts,January-December
Ambum,4880,Banana flavored craft beers,November-January
Nethra Palam,3860,make banana silk which is eco friendly and biodegradable,January-December
Kandula,4782,Make jam and sugary products to the local market,November-January
Seeni Parakum,1933,Make jam and sugary products to the local market,January-December
Rath Kesel,1050,Make banana oils are used in cosmatic industry,November-January
Ambum,4970,Banana chips ( both sweetened and unsweetened),January-December
Seeni Parakum,3141,Make breakfast cereals,January-December
Ambul Nadee,188,Banana chocolates and sweets,November-January
Ambum,423,Make breakfast cereals,January-December
Seeni Parakum,2736,cosmetic industry- Make haircare treatments with banana extracts,November-January
Seeni Parakum,1870,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Nadee,2758,Make breakfast cereals,November-January
Ambum,3494,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Nethra Palam,3142,Export to USA as fresh banana,January-December
Ambum,230,Make breakfast cereals,January-December
Anamalu,658,make banana silk which is eco friendly and biodegradable,January-December
Kolikuttu,613,Make banana oils are used in cosmatic industry,November-January
Puwalu,4899,Make bioplastics,January-December
Ambul Nadee,1594,Make innorganic fertilizers,November-January
Seeni Parakum,2979,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Rath Kesel,1274,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Puwalu,1950,Textile industry- make banana fibers,November-January
Seeni Parakum,178,Banana chocolates and sweets,January-December
Anamalu,4465,Make breakfast cereals,January-December
Nethra Palam,2820,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Puwalu,354,make banana silk which is eco friendly and biodegradable,November-January
Nethra Palam,1313,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Seeni Parakum,626,Make organic fertilizers,January-December
Puwalu,2998,Food industry-desserts varieties,November-January
Ambul Kesel,3446,Make single use plastic alternatives,November-January
Nethra Palam,2393,Brewing and distilling industry- Make banana beer,November-January
Kandula,2837,Banana flavored craft beers,January-December
